step,epoch,loss,reward,grad_norm,learning_rate,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,frac_reward_zero_std,kl,num_tokens,reward_std,rewards/reward_func/mean,rewards/reward_func/std,rewards/schema_reward_func/mean,rewards/schema_reward_func/std,rewards/terminal_reward_func/mean,rewards/terminal_reward_func/std,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
1,0.0005,-0.40968647599220276,0.6218776702880859,0.17040149867534637,5e-06,0.0,0.0,0.0,0.0,0.0,0.125,768.0,449.0,324.875,261.5714416503906,89.0,89.0,0.03611163480672985,0.0,0.0,5167.0,0.38714268803596497,0.5046888589859009,0.196603462100029,0.06484441459178925,0.09704472124576569,0.052344419062137604,0.09830173850059509,,,,,
2,0.001,-0.3076174557209015,0.48861926794052124,0.1223885789513588,4.987500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,563.0,563.0,301.0,301.0,183.0,183.0,0.038261173758655787,0.0,0.00010236729121970711,10143.0,0.2506532073020935,0.44430965185165405,0.12532658874988556,0.02215481922030449,0.06266329437494278,0.02215481922030449,0.06266329437494278,,,,,
3,0.0015,-0.4807949364185333,0.7844870090484619,0.10650882124900818,4.975000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.5,768.0,261.0,500.0,232.0,191.0,191.0,0.027807423495687544,0.0,0.00012768493827053362,16711.0,0.4285314679145813,0.592243492603302,0.21426571905612946,0.09612175822257996,0.10713286697864532,0.09612175822257996,0.10713286697864532,,,,,
4,0.002,-0.46206167340278625,0.5671881437301636,0.09461711347103119,4.9625e-06,0.0,0.0,0.0,0.0,0.0,0.25,768.0,499.0,422.625,307.5,139.0,139.0,0.04115063964854926,0.0,0.00021247545555524994,22660.0,0.37486568093299866,0.46484407782554626,0.20508995652198792,0.05429704114794731,0.08685576170682907,0.04804703965783119,0.08898207545280457,,,,,
5,0.0025,-0.5288668870925903,0.6648863554000854,0.1055288091301918,4.95e-06,0.0,0.0,0.0,0.0,0.0,0.25,768.0,731.0,434.25,323.0,185.0,185.0,0.03294073964934796,0.0,9.135341520050133e-05,28702.0,0.357681006193161,0.5293182134628296,0.18118911981582642,0.07090909779071808,0.0871560275554657,0.06465910375118256,0.0905945673584938,,,,,
6,0.003,-0.21109560132026672,0.8453841209411621,0.10581715404987335,4.937500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.5,768.0,701.0,578.75,389.5,179.0,179.0,0.024952894425950944,0.0,6.44775827254307e-05,35900.0,0.37218335270881653,0.616442084312439,0.19525349140167236,0.11759603023529053,0.08590326458215714,0.111346036195755,0.09304583817720413,,,,,
7,0.0035,-0.6306425333023071,0.6746318936347961,0.11568950116634369,4.925e-06,0.0,0.0,0.0,0.0,0.0,0.375,768.0,237.0,409.375,194.1999969482422,133.0,133.0,0.030314458766952157,0.0,0.00018140301881430787,41743.0,0.41213610768318176,0.5185659527778625,0.22618910670280457,0.08428297936916351,0.09224923700094223,0.07178297638893127,0.10012567043304443,,,,,
8,0.004,-0.5273687839508057,0.6913900375366211,0.1203562468290329,4.912500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.25,768.0,431.0,392.25,267.0,179.0,179.0,0.03250074468087405,0.0,0.00027842324607263436,47449.0,0.41905930638313293,0.5394449830055237,0.21516631543636322,0.07909750938415527,0.10122989118099213,0.07284750789403915,0.10476483404636383,,,,,
9,0.0045,-0.2617064416408539,0.9117587804794312,0.05791497975587845,4.9000000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.625,768.0,547.0,593.875,303.66668701171875,139.0,139.0,0.022310314350761473,0.0,0.00016166322507160658,54768.0,0.466660737991333,0.6465044021606445,0.2473156601190567,0.13575220108032227,0.10766242444515228,0.12950220704078674,0.1145806610584259,,,,,
10,0.005,-0.4267306625843048,0.9053577184677124,0.07650493085384369,4.8875e-06,0.0,0.0,0.0,0.0,0.0,0.5,768.0,419.0,513.75,259.5,179.0,179.0,0.026286869659088552,0.0,0.00039490638937422773,61446.0,0.42495834827423096,0.6464288830757141,0.22151657938957214,0.1325894445180893,0.09896717220544815,0.12633943557739258,0.10623958706855774,,,,,
11,0.0055,-0.3596094846725464,1.001258373260498,0.07760915905237198,4.875e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,243.0,617.375,165.5,88.0,88.0,0.018535558658186346,0.0,0.000531991912794183,68953.0,0.3886685371398926,0.6850042343139648,0.22262711822986603,0.16750210523605347,0.07994116097688675,0.1487520933151245,0.09976562857627869,,,,,
